"id","image","description","name"
4,"images/lunarlockout.png","An AI that solves the game Lunar Lockout made in python.","Lunar Lockout AI"
5,"images/pacman2_fYpjU9E.png","An AI that solves the game pacman made in python.","Pacman AI"
